service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3,1,1,1,1,1,0,0,20181105,20181207
183,1,1,1,1,1,0,0,20181105,20181207
4,0,0,0,0,0,1,0,20181110,20181208
7,0,0,0,0,0,0,1,20181111,20181202
101,1,1,1,1,1,0,0,20181112,20181130
166,1,1,1,1,1,0,0,20181112,20181130
103,0,0,1,0,0,1,0,20181107,20181208
19,0,0,0,0,1,0,0,20181109,20181207
16,0,0,0,0,1,0,0,20181109,20181207
20,0,0,0,0,0,1,0,20181117,20181208
24,1,1,1,1,1,0,0,20181105,20181207
21,0,0,1,0,0,0,0,20181107,20181205
22,1,1,1,1,0,0,0,20181105,20181206
1034,1,1,1,1,1,0,0,20181203,20181207
2819,1,1,1,1,0,0,0,20181203,20181206
209,0,0,0,0,0,1,0,20181110,20181124
128,0,0,0,0,0,1,0,20181117,20181124
211,0,0,0,0,0,0,1,20181111,20181125
210,0,0,0,0,0,1,1,20181110,20181125
129,0,0,0,0,0,1,1,20181117,20181125
227,1,1,1,1,1,0,0,20190102,20190201
230,1,1,1,1,1,0,0,20181210,20181231
235,0,0,0,0,0,0,1,20190101,20190203
234,0,0,0,0,0,0,1,20181209,20181230
285,1,1,1,1,1,0,0,20190102,20190201
248,0,0,0,0,0,1,0,20181215,20181229
254,1,1,1,1,1,0,0,20190102,20190201
14197,0,0,0,0,0,1,1,20181209,20181230
265,0,0,0,0,0,1,1,20190101,20190203
246,0,0,0,0,0,1,0,20190105,20190202
263,0,0,0,0,0,1,1,20181209,20181230
253,1,1,1,1,1,0,1,20190101,20190203
243,0,0,0,0,0,0,1,20190101,20190203
153,1,1,1,1,1,0,0,20190121,20190201
252,1,1,1,1,1,0,1,20181209,20181231
241,1,1,1,1,1,1,0,20181210,20181231
296,0,1,1,1,1,0,0,20190122,20190201
249,1,1,1,1,1,0,0,20190102,20190118
298,1,1,1,1,1,0,0,20190102,20190128
242,1,1,1,1,1,1,0,20190102,20190202
245,1,1,1,1,1,1,1,20190101,20190203
262,0,0,0,0,0,1,0,20190105,20190202
238,1,1,1,1,1,1,1,20181209,20181231
189,0,0,0,0,0,1,1,20181201,20181202
364,1,0,1,1,1,0,0,20181224,20190104
1818,1,0,1,1,1,0,0,20181224,20181231
2845,1,1,1,1,1,0,0,20181105,20181130
1376,1,1,1,1,1,0,0,20181105,20181130
9,1,1,0,1,1,0,0,20181105,20181207
171,0,0,0,0,0,1,0,20181110,20181208
172,0,0,1,0,1,0,0,20181107,20181207
5,1,1,1,1,1,0,0,20181105,20181207
6,0,0,1,0,0,0,0,20181107,20181205
224,1,1,1,1,1,1,0,20181105,20181208
144,0,0,0,0,0,1,0,20181110,20181208
168,0,0,0,0,0,0,1,20181111,20181202
85,1,1,1,1,1,0,0,20181105,20181207
255,0,0,0,0,1,0,0,20181109,20181207
232,1,1,1,1,1,1,1,20181105,20181208
231,0,0,0,0,0,1,1,20181110,20181208
164,1,1,1,1,1,0,1,20181105,20181207
269,1,0,0,0,0,0,0,20181105,20181203
34,1,1,1,1,1,0,0,20181210,20190201
32,0,0,0,0,1,0,0,20181214,20190201
57,1,1,1,1,1,1,0,20181210,20190202
33,0,0,0,0,0,1,0,20181215,20190202
44,0,0,0,0,0,0,1,20181209,20190203
71,0,0,0,0,0,1,1,20181209,20190203
65,1,1,1,1,1,1,1,20181209,20190203
100,1,1,1,1,1,0,1,20181209,20190203
141,1,0,0,0,0,0,0,20181210,20190128
404,1,1,1,1,1,0,0,20181105,20181109
394,1,1,1,1,0,0,0,20181105,20181206
412,1,1,1,1,1,0,0,20181105,20181109
415,1,1,1,1,1,0,0,20181105,20181109
45,0,0,0,0,0,0,1,20181111,20181202
414,1,1,1,1,1,0,0,20181105,20181109
418,1,1,1,1,1,0,0,20181105,20181109
422,1,1,1,1,1,0,0,20181112,20181123
633,0,0,0,0,1,0,1,20190104,20190203
525,1,1,1,1,1,1,1,20190102,20190203
519,0,0,0,0,0,1,1,20190105,20190203
625,0,0,0,0,1,0,0,20190104,20190201
1240,1,1,1,1,0,0,0,20181119,20181122
450,1,1,1,1,0,0,0,20181210,20190131
637,1,1,1,1,1,0,1,20190102,20190203
39,1,1,1,1,1,0,1,20181105,20181207
13,1,1,1,1,1,1,0,20181105,20181208
646,0,0,0,0,0,0,1,20181111,20181202
656,1,1,1,1,0,1,0,20181105,20181208
119,0,0,0,0,1,0,0,20181109,20181207
648,0,0,0,0,1,0,1,20181109,20181207
687,0,0,0,0,1,0,0,20181109,20181207
521,1,1,1,1,0,1,1,20181105,20181208
29,0,0,0,0,0,1,1,20181110,20181208
12,1,1,1,1,1,1,1,20181105,20181208
23,1,1,1,1,1,0,0,20181105,20181207
409,1,0,0,0,0,0,0,20181105,20181203
658,0,0,1,0,0,0,0,20181107,20181205
425,1,1,1,1,1,0,0,20181210,20190201
767,0,0,0,0,1,0,1,20181209,20190203
834,0,0,1,1,0,0,0,20181226,20190103
769,1,1,1,1,0,1,0,20181210,20190202
827,0,0,1,1,1,0,0,20181226,20190104
719,1,1,1,1,1,0,0,20181126,20181130
722,1,1,1,1,1,0,0,20181126,20181130
720,0,1,1,1,1,0,0,20181120,20181123
725,1,1,1,1,1,0,0,20181105,20181116
723,1,1,1,1,1,0,0,20181119,20181130
724,0,0,1,0,0,0,0,20181121,20181128
400,1,0,0,0,0,0,0,20181105,20181203
738,0,0,0,0,0,0,1,20181209,20190203
480,1,0,0,0,0,0,0,20181210,20190128
727,1,1,1,1,1,1,0,20181210,20190202
1010,1,1,1,1,1,0,0,20190107,20190125
728,1,1,1,1,1,0,0,20181210,20190201
832,1,0,0,0,0,0,0,20181210,20190128
37,0,0,0,0,0,0,1,20181209,20190203
821,0,0,0,0,0,0,1,20181209,20190203
824,1,1,1,1,1,0,0,20181210,20190201
486,0,0,1,0,0,0,0,20181212,20190130
839,1,1,0,1,1,0,0,20181210,20190201
829,0,0,1,0,0,0,0,20181226,20190102
942,1,1,1,1,1,0,0,20190107,20190118
837,0,0,0,0,1,1,1,20181109,20181208
836,0,0,0,0,1,1,1,20181209,20190203
835,0,0,0,0,0,0,1,20181209,20190203
831,0,0,0,0,0,0,1,20181209,20190203
