route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE685639,OCESN,"","[HDF15C] BUSIGNY - ST QUENTIN / CAR",,3,,,
OCE685642,OCESN,"","[HDF24C] COMPIEGNE - TERGNIER /CAR",,3,,,
OCE685640,OCESN,"","[HDF19C] LAON - HIRSON / CAR",,3,,,
OCE685646,OCESN,"","[HDF30C] BEAUVAIS - LE TREPORT / CAR",,3,,,
OCE527,OCESN,"","[HDF01] AMIENS - ALBERT",,2,,,
OCE685647,OCESN,"","[HDF02C] ABBEVILLE - RUE / CAR",,3,,,
OCE685645,OCESN,"","[HDF28C] CREIL - BEAUVAIS /CAR",,3,,,
OCE1225972,OCESN,"","[HDF48C] FISMES - LA FERTE MILON",,3,,,
OCE517,OCESN,"","Rouen Serqueux (Gisors) Amiens Lille (Le Tréport)",,2,,,
OCE128626,OCESN,"","[HDF28] CREIL - BEAUVAIS",,2,,,
OCESN-87313510-87276006,OCESN,"","Beauvais-Gare-SNCF - Creil",,2,,,
OCESN-87313874-87276006,OCESN,"","Amiens - Creil",,2,,,
OCESN-87271007-87296004,OCESN,"","Paris-Nord - St Quentin",,2,,,
OCE697624,OCESN,"","ROUEN-AMIENS-DOUAI-LILLE (Multi)",,2,,,
OCESN-87313874-87271007,OCESN,"","Amiens - Paris-Nord",,2,,,
OCE136634,OCESN,"","[HDF29] PARIS - PERSAN BEAUMONT - BEAUVAIS",,2,,,
OCESN-87295600-87295063,OCESN,"","Aulnoye Aymeries - Hirson",,2,,,
OCESN-87332379-87297119,OCESN,"","- Verneuil-sur-Serre",,3,,,
OCESN-87332361-87297119,OCESN,"","- Verneuil-sur-Serre",,3,,,
OCESN-87297168-87296095,OCESN,"","- Marle-sur-Serre",,3,,,
OCESN-87313510-87276469,OCESN,"","Beauvais-Gare-SNCF - Persan-Beaumont",,3,,,
OCESN-87295006-87271007,OCESN,"","Maubeuge - Paris-Nord",,2,,,
OCE685648,OCESN,"","[HDF32C] ABBEVILLE - LE TREPORT / CAR",,3,,,
OCESN-87317362-87317529,OCESN,"","Abbeville - Le Tréport-Mers-Les-B",,3,,,
OCESN-87345520-87271007,OCESN,"","Cambrai Ville - Paris-Nord",,2,,,
OCESN-87313668-87276469,OCESN,"","Méru - Persan-Beaumont",,3,,,
OCESN-87317263-87317057,OCESN,"","Calais Ville - Rang du Fl. Verton Ber.",,2,,,
OCE629097,OCESN,"","Brive - Périgeux - Bordeaux",,2,,,
OCE629106,OCESN,"","Limoges -Périgueux - Agen",,2,,,
OCE629107,OCESN,"","Bayonne - St Jean Pied de Port",,2,,,
OCE629113,OCESN,"","Bordeaux - Mont de Marsan",,2,,,
OCE629111,OCESN,"","Bordeaux - Hendaye - Irun",,2,,,
OCE629116,OCESN,"","Pau - Oloron - Bedous",,2,,,
OCE629108,OCESN,"","Bordeaux - Agen",,2,,,
OCESN-87673004-87677005,OCESN,"","Bayonne - Hendaye",,3,,,
OCESN-87584268-87595827,OCESN,"","Bergerac - Sarlat",,3,,,
OCE104647,OCESN,"","LIMOGES - PERIGUEUX - BORDEAUX",,2,,,
OCESN-87594002-87595009,OCESN,"","Brive-la-Gaillarde - Périgueux",,2,,,
OCESN-87584441-87584474,OCESN,"","Lalinde - Trémolat",,3,,,
OCESN-87584268-87584052,OCESN,"","Bergerac - Libourne",,3,,,
OCESN-87584268-87595751,OCESN,"","Bergerac - Le Buisson",,3,,,
OCESN-87584268-87595298,OCESN,"","Bergerac - Mussidan",,3,,,
OCESN-87595751-87595827,OCESN,"","Le Buisson - Sarlat",,3,,,
OCE516889,OCESN,"","Besançon-Mouchard-Lons Le Saunier",,3,,,
OCE516894,OCESN,"","Dole-Saint Claude",,3,,,
OCE516880,OCESN,"","Frasne-Vallorbe",,3,,,
OCE512869,OCESN,"","Besançon-Le Locle",,3,,,
OCE488859,OCESN,"","Aillevillers-Belfort",,3,,,
OCE512871,OCESN,"","Frasne-Pontarlier",,3,,,
OCESN-87718007-87718833,OCESN,"","Besançon-Viotte - Mouchard",,2,,,
OCESN-87718833-87743633,OCESN,"","Mouchard - St-Claude",,3,,,
OCESN-87715326-87743633,OCESN,"","Champagnole - St-Claude",,3,,,
OCESN-87715102-87743633,OCESN,"","Andelot - St-Claude",,3,,,
OCESN-87713412-87743633,OCESN,"","Dole-Ville - St-Claude",,3,,,
OCE725913,OCESN,"","Paris Bercy - Auxerre - Morvan",,2,,,
OCE909879,OCESN,"","Is-sur-Tille - Dijon - Les-Laumes",,2,,,
OCE725919,OCESN,"","Dijon - Bourg en Bresse (Multi-Activités)",,2,,,
OCE725925,OCESN,"","Decize - Nevers - Cosne",,2,,,
OCE726008,OCESN,"","Dijon - Nevers",,2,,,
OCE725905,OCESN,"","Paris Bercy - Dijon - Lyon (Multi-Activités)",,2,,,
OCE725924,OCESN,"","Etang - Autun",,3,,,
OCESN-87694570-87694141,OCESN,"","Autun - Etang",,2,,,
OCESN-87713040-87713859,OCESN,"","Dijon-Ville - Is-sur-Tille",,2,,,
OCESN-87683573-87683268,OCESN,"","Auxerre-St-Gervais - Laroche-Migennes",,2,,,
OCESN-87718544-87718619,OCESN,"","Le Valdahon - Morteau",,3,,,
OCESN-87718007-87718619,OCESN,"","Besançon-Viotte - Morteau",,2,,,
OCESN-87715136-87715003,OCESN,"","Frasne - Pontarlier",,3,,,
OCESN-87696328-87696005,OCESN,"","Moulins-sur-Allier - Nevers",,2,,,
OCESN-87713412-87718833,OCESN,"","Dole-Ville - Mouchard",,2,,,
OCESN-87722025-87694687,OCESN,"","Lyon-Perrache - Paray-le-Monial",,2,,,
OCESN-87713040-87683268,OCESN,"","Dijon-Ville - Laroche-Migennes",,2,,,
OCE725918,OCESN,"","Seurre - Bourg-en-Bresse",,3,,,
OCESN-87713735-87713677,OCESN,"","Louhans - Seurre",,3,,,
OCE725907,OCESN,"","Paray-le-Monial - Moulins-sur-Allier",,3,,,
OCESN-87696328-87694687,OCESN,"","Moulins-sur-Allier - Paray-le-Monial",,3,,,
OCESN-87743005-87713677,OCESN,"","Bourg-en-Bresse - Seurre",,3,,,
OCE725908,OCESN,"","Digoin - Paray-le-Monial - Lozanne",,3,,,
OCESN-87677138-87694695,OCESN,"","Chauffailles-Gambetta - Digoin",,3,,,
OCESN-87352047-87713412,OCESN,"","Champagnole-PE-Victor - Dole-Ville",,3,,,
OCESN-87718239-87718833,OCESN,"","Lons-le-Saunier - Mouchard",,3,,,
OCESN-87598227-87718619,OCESN,"","Le Locle. - Morteau",,3,,,
OCESN-87715136-87715524,OCESN,"","Frasne - Jougne",,3,,,
OCE725930,OCESN,"","Nevers - Moulins",,3,,,
OCESN-87185629-87185249,OCESN,"","Aillevillers - Lure",,3,,,
OCESN-87696005-87696294,OCESN,"","Nevers - St-Pierre-le-Moûtier",,3,,,
OCESN-87715136-85011031,OCESN,"","Frasne - Vallorbe-Cff",,3,,,
OCESN-87713693-87713677,OCESN,"","- Seurre",,3,,,
OCESN-87659664-87715003,OCESN,"","Dompierre-Halte-Rout. - Pontarlier",,3,,,
OCESN-87694695-87721423,OCESN,"","Digoin - Lozanne",,3,,,
OCESN-87715169-87715003,OCESN,"","Les Granges-Narboz - Pontarlier",,3,,,
OCESN-87185629-87184002,OCESN,"","Aillevillers - Belfort-Ville",,3,,,
OCESN-87718833-87718189,OCESN,"","Mouchard - Poligny",,3,,,
OCESN-87696807-87696617,OCESN,"","Clamecy - Corbigny",,3,,,
OCE869850,OCESN,"","Clamecy - Corbigny",,3,,,
OCE725915,OCESN,"","Auxerre - Clamecy - Corbigny",,3,,,
OCESN-87683573-87696807,OCESN,"","Auxerre-St-Gervais - Clamecy",,3,,,
OCE725916,OCESN,"","Auxerre - Avallon",,3,,,
OCESN-87683573-87683789,OCESN,"","Auxerre-St-Gervais - Avallon",,3,,,
OCE1233992,OCESN,"","Nevers - Cercy la Tour - Luzy",,3,,,
OCESN-87696534-87696005,OCESN,"","Luzy(Nièvre) - Nevers",,3,,,
OCESN-87696492-87696005,OCESN,"","Cercy-la-Tour - Nevers",,3,,,
OCESN-87683573-87696617,OCESN,"","Auxerre-St-Gervais - Corbigny",,3,,,
OCESN-87683268-87682302,OCESN,"","Laroche-Migennes - Montereau",,2,,,
OCESN-87683268-87713198,OCESN,"","Laroche-Migennes - Tonnerre",,3,,,
OCESN-87723197-87686667,OCESN,"","Lyon-Part-Dieu - Paris-Bercy",,2,,,
OCESN-87722025-87686667,OCESN,"","Lyon-Perrache - Paris-Bercy",,2,,,
OCESN-87725002-87725689,OCESN,"","Chalon-sur-Saône - Mâcon-Ville",,3,,,
OCESN-87713008-87713859,OCESN,"","Dijon-Porte-Neuve - Is-sur-Tille",,3,,,
OCESN-87721423-87694687,OCESN,"","Lozanne - Paray-le-Monial",,3,,,
OCESN-87713545-87694109,OCESN,"","Beaune - Creusot - TGV (le)",,3,,,
OCE104653,OCESN,"","LIMOGES - EYMOUTIERS - USSEL - CLERMONT FD",,2,,,
OCE104651,OCESN,"","LIMOGES -GUERET - MONTLUCON",,2,,,
OCE104648,OCESN,"","LIMOGES - ST YRIEIX - BRIVE",,2,,,
OCE532920,OCESN,"","Montluçon - Guéret",,3,,,
OCE572944,OCESN,"","Ussel - Bort les Orgues",,3,,,
OCE104652,OCESN,"","BRIVE - TULLE - USSEL - CLERMONT FD",,2,,,
OCE116623,OCESN,"","LIMOGES - POITIERS",,2,,,
OCE116622,OCESN,"","LIMOGES - ANGOULEME",,2,,,
OCESN-87594002-87594630,OCESN,"","Brive-la-Gaillarde - Objat",,2,,,
OCESN-87594002-87594499,OCESN,"","Brive-la-Gaillarde - Tulle",,2,,,
OCESN-87592006-87594093,OCESN,"","Limoges-Bénédictins - Ussel",,2,,,
OCESN-87592006-87592824,OCESN,"","Limoges-Bénédictins - St-Yrieix-la-Perche",,2,,,
OCESN-87592543-87592006,OCESN,"","Le Dorat - Limoges-Bénédictins",,2,,,
OCESN-87594002-87594093,OCESN,"","Brive-la-Gaillarde - Ussel",,2,,,
OCE125,OCESN,"","Orleans-Vierzon-Chateauroux- Argenton-Limoges",,2,,,
OCESN-87594663-87592824,OCESN,"","Pompadour - St-Yrieix-la-Perche",,3,,,
OCESN-87594630-87594663,OCESN,"","Objat - Pompadour",,3,,,
OCESN-87583005-87592717,OCESN,"","Angoulême - Saillat-Chassenon",,3,,,
OCESN-87592378-87592345,OCESN,"","La Souterraine - St-Sulpice-Laurière",,3,,,
OCESN-87583005-87583468,OCESN,"","Angoulême - Roumazières-Loubert",,3,,,
OCE532923,OCESN,"","Ussel - Brive",,3,,,
OCESN-87594168-87594275,OCESN,"","Egletons - Meymac",,3,,,
OCESN-87594002-87594168,OCESN,"","Brive-la-Gaillarde - Egletons",,3,,,
OCESN-87583005-87592709,OCESN,"","Angoulême - St-Junien",,3,,,
OCESN-87594168-87594499,OCESN,"","Egletons - Tulle",,3,,,
OCESN-87594499-87594093,OCESN,"","Tulle - Ussel",,3,,,
OCE452861,OCESN,"","Cars Laqueuille / Le Mont Dore",,3,,,
OCE416859,OCESN,"","Cars Clermont Fd / Le Mont Dore",,3,,,
OCE16626,OCESN,"","Commentry / Montluçon / Vierzon / Bourges (ligne 11)",,2,,,
OCE384863,OCESN,"","Neussargues / Aurillac / Brive (ligne 10)",,3,,,
OCE572936,OCESN,"","Cars Thiers / Noirétable",,3,,,
OCE384854,OCESN,"","Montluçon / Commentry / Gannat / Clermont Fd (ligne 8)",,2,,,
